summary,instance
"If data is linked among VA, DOJ, and Census, it will help the Veterans Justice Outreach initiative to avoid unnecessary criminalization of mental illness and extended incarceration among Veterans. Submitted by: University of Pennsylvania.","Veteran Homelessness:
The goal of the federal Veterans Justice Outreach (VJO) initiative is to “avoid the unnecessary criminalization of mental illness and extended incarceration among Veterans by ensuring that eligible, justice-involved Veterans have timely access to Veterans Health Administration (VHA) services .” One key program that supports this mission is Health Care for Re-entry Veterans which connects previously incarcerated Veterans with health and human services supports to reduce recidivism. Unfortunately, recidivism rates can’t adequately be tracked across the population without linking service delivery data from the Department of Veterans Affairs with data from the Department of Justice on state prison entry and exit. In order to better evaluate this important program and make adjustments to improve implementation, the National Center on Homelessness among Veterans has proposed that linkage between VA and DOJ data occur at the U.S. Census Bureau, and is actively working with representatives from all three departments  to negotiate a path forward. "
"If the government creates a decentralized immigration ecosystem allowing multiple agencies to access mission-related information while protecting individuals' records, it would help organizations perform better. Submitted by Anonymous.","As the former DHS/ICE Chief Data Officer and technologist at heart, I would like to present the notion of a decentralized immigration ecosystem that would allow multiple Federal Departments/Agencies to have access to relevant information needed to carry out their statutes but to protect the immutable records of the individual interacting with the US Government throughout the immigration life cycle.  Contrary to popular belief that the approach should be one large consolidation of data, industry is showing that blockchain reference architectures hold great value where a) the trust between entities is low b) interdependence on one system is an operational risk c) transparency in transactions is critical and d) there is a high volume of transmitted information.   This data incubator use case would provide numerous law enforcement, health, benefit, and national security entities with the information they need to perform rather disparate activities."
"If administrative data sources linked across multiple state systems are leveraged to analyze parental employment, continuity of care, and other outcomes, the Administration of Children and Families (ACF) will be better able to determine impacts of Child Care and Development (CCDF) program changes. Submitted by: Chapin Hall.","Program Evaluation of Subsidized Child Care
This project aims to evaluate important statutory changes that resulted from the federal Child Care and Development Block Grant (CCDBG) Act of 2014 in the state of Illinois. The evaluation focuses on changes to the Child Care and Development (CCDF) program including extending the redetermination period for child care subsidy benefits and the implementation of new provider training and monitoring requirements. We will analyze the impact on children, their families and the workforce, specifically outcomes around parental employment; continuity of care; child outcomes; and employment outcomes for providers and monitors, by leveraging administrative sources linked across multiple state systems. Evaluation activities will be conducted in an environment that enables secure data access for the agency and evaluators. This resource will allow secure access to both state agency and external analysts to the same datasets and facilitate data sharing with the evaluators. This project is sponsored by the Office of Planning, Research, and Evaluation (OPRE), an Office of the Administration for Children and Families (ACF), U.S. Department of Health and Human Services (HHS). "
"If the federal government provides guidance regarding inter- and intra-agency best practices and supports local governments with data access respectful of individual privacy, Kansas City would be better-able to navigate data-sharing challenges to evaluate areas of opportunity regarding high utilizers of emergency medical services. Submitted by: City of Kansas City, Mo.","My potential use case falls under the pillar of Access, Use and Augmentation. 
The City of Kansas City, Missouri is currently bringing together a network of locals actors in government (e.g. City and County), non-profits and hospitals to evaluate areas of opportunity regarding high utilizers of the City's emergency medical response system. Goals of this group include reviewing analytics in order to better understand and identify characteristics of high utilizers, identifying tools and strategies to more effectively reduce high utilizer issues, and to establish and monitor shared high utilizer measures of success . 
Data-sharing and navigating HIPAA compliancy between agencies has been one of the biggest challenges to the working team.  This is an area where the Federal Government could provide guidance regarding inter- and intra-agency best practices, and further assist local governments by leveraging a tool for data access that is respectful of individual privacy. 
This use case could help transform the effectiveness and insights of a local network of care for local/regional emergency service professionals and greatly benefit their patients and clients that are frequently exposed to trauma and negatively reinforcing fluctuations in living conditions."
"When the Young Invincibles published the Student Agenda for Data Reform, it set out widely-supported principles for enhancing federal data systems to benefit young adults seeking education and training opportunities. Submitted by: Anonymous.","Thank you so much for allowing me to speak on behalf of Young Invincibles and our work to enhance federal data systems to benefit young adults seeking education and training opportunities. Here is the link to the Student Agenda for Data Reform, a set of principles now supported by organizations representing over one million students:
http://younginvincibles.org/wp-content/uploads/2017/04/Student-Agenda-Data-Reform.pdf
Maintaining and enhancing the College Scorecard, as well as pursuing further data matching between the U.S. Census' LEHD program and higher education systems like University of Texas and the state of Colorado are two specific examples that would advance this agenda and the federal data strategy overall.
"
"When the National Head Start Association launched the Data Design Initiative to address the knowledge gap about which programs and practices are effective, it advanced the cause of making early childhood data more useful. Submitted by: Anonymous.","Early Childhood Use Case
Numerous studies have found that high-quality early childhood programs, birth to age 5, can greatly help children in poverty fare far better in life.  Perhaps most well-known among those studies is the Perry Pre-School Study (https://highscope.org/perrypreschoolstudy), a randomized control trial done in the 1960’s. Subsequent studies have yielded similarly positive findings. See, for example, http://www.people.fas.harvard.edu/~deming/papers/Deming_HeadStart.pdf) about the Head Start program, which serves over 900,000 children in poverty every year.
Unfortunately, little is known about which programs and practices are likely to work better than others, especially for different children and different domains of learning (e.g., literacy, numeracy, social-emotional). Is the High Scope program, created to replicate the Perry Pre-School practices, better or worse overall than some of its competitors, such as Creative Curriculum and Frog Street?  If it is better overall (on average), is it also better in each domain?  Similarly, is it better for all children or do other programs work better for children with certain characteristics (e.g., learning styles)?  Is the success of some programs likely to vary by parent characteristics (e.g., language spoken at home, drug dependency)?  Little is known, too, about whether current programs have improved over time, and, more important, how they can be improved further.
Despite an abundance of data being gathered and supplied annually or more often by Head Start and other programs and reams of research, it is surprisingly and distressingly difficult for early childhood providers to learn from their own and others’ experience which curriculum and practices (e.g., absentee-reducing) work well and, especially, which are likely to work better than others in different situations. Similarly, despite valuable research on adverse childhood experiences, current data systems do not provide early risk warnings to detect modifiable stressors in the home nor support priority-setting.  In short, it is far too hard to identify, objectively, lower cost, higher return ways to serve the nation’s most vulnerable children.
A big part of the problem is the way early childhood data are gathered, shared, and analyzed.  For example, although Head Start programs gather data at the child level, they report it to the federal government only at the grant recipient level.  This is, in part, because the federal government is not allowed to gather child-level data. Others could combine child-level or classroom data, but few currently do.  The lack of child-level data makes it hard to look across programs using different curriculum, such as High Scope and Creative Curriculum, or different practices, such as absentee reduction or book-reading campaigns, to look for patterns, similarities, and relationships that will help those on the front line working with children and their families understand what is likely to work better for children with different experiences, learning styles, or other characteristics.  This absence of insights is true even in the few states starting to develop kindergarten assessments. 
Another problem for the 1600 Head Start providers is that they use several different programs to collect data for different purposes – such as administrative recordkeeping, attendance, teacher assessments, and child progress assessments. For all but a small subset of Head Start providers, the systems used to collect these data cannot currently communicate with one another, even within a single center. This makes it excruciatingly difficult to sense, for example, how attendance problems might be affecting a child’s progress.  Nor does it make it easy to detect patterns, such as when absenteeism goes up and whether some teachers have lower absentee levels than others. If it did, it would support discovery of programs and practices with greater potential to reduce problems.  Another problem is that the vendors providing Head Start assessment programs do not make it easy to compare children and programs in similar circumstances (e.g., language, rural) across locations to look for positive outliers who might be doing something that, if replicated, would yield similarly favorable results in other locations. 
To address these problems, the National Head Start Association, serving the 1600 Head Start providers, launched the Data Design Initiative in late 2017 to make early childhood data more useful. See https://www.nhsa.org/our-work/initiative/data-design-initiative for a description of the initiative, the problems that led to its creation, and projects underway. NHSA has embarked on a multi-stakeholder effort, involving Head Start providers, current and potential suppliers/vendors/trainers, multiple levels of government, and others in the non-profit and research community to generate greater insights from early childhood data to enhance results for Head Start children and their families.  Working with this federal cross-agency priority goal team would likely reveal new methods and data sources for harvesting more meaning and better outcomes using existing, refined, and evolving early childhood and related data sets. 
"
"When South Carolina launched an Integrated Data System, it made it easier for the government and independent evaluators to assess the impact of government programs. Submitted by: J-PAL North America.","South Carolina’s Integrated Data System
Some systems and infrastructure can be put in place to enable lower cost and more efficient research. An integrated administrative data system across government agencies is one such model that makes conducting randomized evaluations (and other forms of evaluation) more efficient. For example, the integrated data system South Carolina has built over time, which is housed at the Revenue and Fiscal Affairs Office, has made it easier for the government and independent evaluators to assess the impact of government programs. This has made South Carolina a promising location for researchers interesting in answering crucial policy-relevant questions. 
As just one example, South Carolina’s Department of Health and Human Services (SCDHHS) has partnered with J-PAL affiliates to evaluate how expanding the Nurse-Family Partnership through a pay-for-success contract affects the health and long-term economic outcomes of mothers and children enrolled in the program. The integrated data system South Carolina has built has been a crucial foundation for enabling a cost-effective, reliable evaluation design. From the perspective of the research team, it has been very helpful to work with a central entity (the Revenue and Fiscal Affairs Office, or RFA) for a number of reasons: 
● clear data documentation and standard data request processes are in place.
● staff are in place to receive data requests and shepherd them through the data use agreement process.
● RFA can enable linkages across data sets from different departments and agencies and coordinate the data use agreement process. This is particularly important in cases where we are evaluating programs that may affect people’s lives across multiple outcomes in ways that do not match the silos of government agencies. 
● This administrative data infrastructure enables us to measure the impact of the program without incurring the cost and the burden on study participants of following up with surveys and original data collection.
● This example also highlights the value of having similar coordination at the federal level that would enable data access across states and across different federal sources of data.
"
"If the National Association for State Chief Information Officers (NASCIO) and similar organizations were leveraged to share enterprise data governance practices, it would help make data sharing and oversight between federal and state governments easier. Submitted by: The MITRE Corporation.","Find easy ways to spur collaboration with state governments.
Example: The National Association for State Chief Information Officers (NASCIO) is an organization of state governments that serves as the common forum for collaboration and the exchange of ideas for state CIOs.
• Common Solution
• Federal and state governments regularly need to exchange data in a number of different areas. Finding ways to make the sharing (and oversight) easier would be beneficial.
NASCIO could be leveraged to share enterprise data governance practices. Alternatively, a similar organization can be created specifically supporting Chief Data Officers.
30
[30 Johns Hopkins University is already attempting to expand its local community of CDOs to include the U.S. state
CDOs.]"
"When the Center for Open Data Enterprise documented the policies, resources, and best practices they learned about through a series of Data Roundtables that they co-lead with the White House and Department of Treasury from 2016-2018 into a single library: usopendatatoolkit.org, then federal data providers and data users had a one-stop-shop to get a landscape view of open data related resources. Submitted by: CODE.","On July 24, 2018, CODE launched the U.S. Open Data Toolkit (usopendatatoolkit.org) as a resource to help ""federal data providers and data users better understand and harness the strategic value of open government data."" The Toolkit draws heavily on the Open Data Roundtables that CODE has held with the White House and federal agencies, particularly a series of four Roundtables held with the Office of Science and Technology Policy (OSTP) in 2016 and the three Roundtables held with OMB and the U.S. Department of the Treasury in 2017 and 2018. Three elements of the Toolkit are particularly relevant for the Federal Data Strategy: Best Practices: This section synthesizes recommended best practices for data collection, management, and publication based on input from hundreds of data experts at the Open Data Roundtables. These recommendations reflect the perspective of data users as well as providers, since the Roundtables have all included participants from both inside and outside of government. They represent an objective, nonpartisan synthesis of a wide range of approaches relevant to the issues the Data Strategy will address."
"When the Department of Homeland Security formed a Data Stewardship Tactical Working Group of 700+ federal and industry members, then they had the authorities and enterprise to collectively coordinate with DHS data owners to appoint and train stewards and develop and support inter and intra-agency data: standards, glossaries, and integration quality assessments. Submitted by: Data Stewardship Tactical Working Group .","The DHS Data Stewardship Tactical Working Group – A Common Data Governance Model Use Case
Common Operating Data Governance Model – The DHS Data Stewardship Tactical Working Group (DSTWG) and Data Community members established in January 2014 with less than a dozen members and now has over 700 federal and private industry voluntary members.  This Community consists of stewards, business operators, policy, privacy, developers, enterprise architecture, analyst, statisticians, strategist, lawyers, data scientist, oversight and auditing entities, data governance and data management practitioners.  This Community has come together and by building trust and promoting maturity through identifying and providing solutions this Community is continuously moving forward and growing.
The information the government collects, utilizes, and disseminates needs to be done so under a model that allows for a successful implementation of a Federal Data Strategy that can be measured for health and maturity under a formal governance umbrella.  This is a flexible model that can be applied in any organization.
This Community operates under the proverb “No Problems…Just Solutions” and offers to the Federal Data Strategy the opportunity to gain insight into this Communities approach and model.  The subsequent information outlines the DSTWGs techniques and strategy: 1) Collaborate, engage, and develop partnerships 2) Foster Stewards and the Stewardship Framework 3) Develop standards and definitions and remain flexible and fluid 4) Provide Services such as varying types of analysis, quality reviews, development, fit for use requirements development, and measures 5) Produce products, tools, processes, and services.
This DSTWG Data Community, in collaboration with Data Governance entities across the Department of Homeland Security and our information sharing agency partners, has developed, applied, and accomplished the following:
• Utilize Use Cases – Intake of the business processes that have apparent and identified capability gaps in information and information sharing 
• Appoint and Support Stewards – Internal control and management of a standard.  Stewards develop the standard and oversee the change management (as a collateral duty)
• Support and Facilitate Standards Development – Agreed upon reference data for the enterprise – included in the DSP
• Support and Facilitate the Glossary Development – Agreed upon terminology for use across the Immigration Domain and when communicating with external parties – Included in the DSP
• Consolidate and Validate DHS Standards Package (DSP) – makes it possible to understand the context of data and document it.
• Develop and Support Data Integration Quality Assessment (DIQA) - Measure the health of the reference data with the standards and the enterprise immigration systems where the reference data persists.
• Develop the Structure from the Data Standards Package (DSP) into Collibra – Data governance tool that will house all the information from the DSP and expose the information for use.
• Data Governance Training – Providing Data Governance Training to the Community for industry expert, John Ladley
"
"If granular, front-line, real-time, and geographically diverse data sources on opioids are combined in a secure environment and shared in aggregate via a public Opioid Epidemic Surveillance and Response Dashboard, then community members, health professionals and policymakers at all levels, will be able to observe and react to prescription and overdose trends in a more timely and location specific manner. Submitted by: NY United Methodist Church.","COMPREHENSIVE AND ACTIONABLE DATA ON THE OPIOID EPIDEMIC:  HARNESSING CONFIDENTIAL MICRODATA TO BUILD A NATIONAL OPIOID SURVEILLANCE DASHBOARD
The country is in the midst of a rapidly shifting opioid overdose epidemic. In 2016, 1 in 65 of all US deaths were opioid related – opioid overdoses now claim more lives per year than HIV/AIDS did at the height of the epidemic. For every fatal overdose, an unknown but large number of individuals suffer from chronic opioid abuse and non-fatal overdose, with devastating individual and societal consequences. The face of the epidemic is also evolving and shifting in ways that challenge traditional epidemiologic surveillance methods—from prescription opioids in 1999-2010, to heroin in 2010-2013, to illegally manufactured synthetics like fentanyl currently. 
To support effective, forceful and nimble action to quell the opioid overdose epidemic across the United States, it is essential to harness the rich trove of confidential microdata on the opioid supply and on indicators of opioid-related harm to improve national capacity to reliably track its evolution, predict where and who it will affect next, and identify new and promising interventions.  Timely access is needed to comprehensive and geographically granular data over time on: (1) state- and local-level laws, policies, and services that may impact opioid-related harm; (2) indicators of the shifting legal and illegal drug markets; and (3) measures of opioid overdose and associated outcomes.  While multiple disparate efforts have assembled data on the opioid overdose epidemic, no single national database resource of requisite depth and scale exists at this time. Building such a resource would advance the Department of Health and Human Services’ 5 Point Strategy to Combat the Opioids Crisis, by addressing Point 2: Better Data. 
A national Opioid Epidemic Surveillance and Response Dashboard (OESRD) can integrate novel and existing data sources addressing: (1) laws and policies that regulate the prescription opioid supply and mitigate opioid-related harm (e.g., prescription drug monitoring programs, pain clinic regulations, prescription limits, naloxone access laws, overdose-related Good Samaritan laws, state restrictions on opioid treatment programs, and Medicaid coverage of medication assisted treatment); (2) access to opioid use disorder services and medications (e.g., overdose education and naloxone treatment programs, opioid treatment programs, clinicians with DEA DATA waivers to prescribe buprenorphine, treatment admissions for opioid use disorders, retail sales of naloxone and medication assisted treatment); (3) opioid supply (e.g., opioid prescribing and dispensing patterns, heroin price and purity, fentanyl and heroin law enforcement seizures); (4) opioid use, overdose, and related outcomes (e.g., opioid overdose-related deaths, opioid-related hospitalizations and emergency department visits, survey reports of opioid use, misuse and disorder); (5) social, economic, and physical environment factors associated with opioid overdose risk (e.g., high school graduation, unemployment, inadequate housing); and (6) compiled evidence on what works to prevent and treat opioid misuse, overdose, and opioid use disorders, the strength of such evidence, and examples of where prevention and treatment approaches are being implemented
Specific emphasis should be put on acquiring data that are:  1) granular, 2) front-line, 3) as close to real-time as possible; and 4) integrated across diverse sources and multiple levels of geographic resolution (as applicable), including states, counties, metropolitan statistical areas, cities, census tracts, and census blocks. An OESRD can provide a secure platform to host multiple datasets using confidential microdata, including hospital discharges, vital statistics, prescription retail sales, and drug seizures, among others. The platform can be dynamic, enabling government agencies to add confidential data as soon as it becomes available, and promoting collaboration across government agencies, universities, and community leaders, among others. Analytic, mapping and visualization tools can be embedded and made accessible online, and public versions of the data can be offered in easily downloadable, user-friendly spreadsheets to meet the needs of diverse constituents.  Building high-quality, public-facing dashboards to meet the needs of multiple stakeholders is a complex endeavor and requires a team with substantive relevant experience.
The OESRD would allow community members, health professionals and policymakers at all levels, spanning rural and urban settings, to access timely data to identify trends in prescribing patterns, drug markets, and opioid overdoses, identify emerging geographic areas of risk, define targeted strategies to markedly reduce overdose rates, and track progress towards reaching strategic goals. At the national level, it would equip policymakers and researchers with the tools to track and anticipate the evolution of the opioid epidemic, to identify geographic and socio-demographic groups at highest risk, to refine hypotheses about key drivers of the epidemic, and to evaluate the effectiveness of current approaches to this public health crisis. "
"
If IRS and Census data was combined with employers (via voluntary public partnerships w/ CARRA, and the US Chamber of Commerce), then employers' ability to act as engines economic mobility could be measured by connecting new hiring cohort data with long-term labor market outcomes and earnings profiles to provide aggregates statistics on wage trajectories by SOC within employers or employer group Submitted by: T3 Innovation Network .","Enabling the Availability of Consumer Information on Employers as Engines of Economic Mobility. Building off of the partnership between IRS and Census in allowing new uses of tax records to create public-use datasets through CARRA, several members of the US Chamber of Commerce have expressed a strong interest in measuring their ability as employers to act as engines of economic mobility by voluntarily creation a public-private data collaborative with Census and providing hiring data for cohorts of new hires to connect with long-term labor market outcomes and earnings profiles and provide aggregates statistics on wage trajectories by SOC within employers or employer groups. This would be similar in spirit to College Scorecard in providing new consumer-facing information on the return on investment for early apprenticeship and employment at different large employers. Several funders have expressed interest in supporting this work. "
"When NOAA made it's Earth-observing satellites and ground-based radar weather data available as open data, their public-private partnerships were able to create an economic return on the order of 5 to 1; in other words, for each $1 billion in federal investment, $5 billion in revenue is realized by NOAA’s private sector partners. Submitted by: SAS Institute Inc..","One example of such commercialization is NOAA making its weather data available for use by the private sector. The data is rich and derived from a variety of sources, ranging from Earth-observing satellites to ground-based radar. Access to such rich data sources has already facilitated the development of a profitable public-private partnership, with significant economic return on U.S. investment. Of note, the economic return on NOAA’s weather data alone is estimated to be on the order of 5 to 1; in other words, for each $1 billion in federal investment, $5 billion in revenue is realized by NOAA’s private sector partners in their Weather Enterprise (NOAA Climate Partnership Task Force 2011)."
"When Davies Ward Phillips & Vineberg transitioned from back up tapes to the public cloud, Total Cost of Ownership was reduced by half, data efficiency improved by a factor of 7, the physical data center footprint was cut by 91%, and Recovery Point Objectives were reduced from the previous 12 hours to just minutes. Submitted by: Rubrik.","USE CASE - DAVIES WARD PHILLIPS & VINEBERG
A typical example of a fast-moving organization that was attracted to the cloud is Davies Ward Phillips & Vineberg,
a large international law firm. Davies Ward believed cloud would allow the firm to invest in its core business rather
than in IT. The firm’s IT staff had begun the transition away from legacy IT infrastructure by replacing old backup
tapes with virtualized infrastructure and wanted to move more aggressively to the cloud.
“Our previous solution wasn’t meeting our SLAs,” said Evans Vogas, the firm’s network operations analyst.
“Backups were going longer than the backup window,” he said. “Second, replication did not work very well in our
previous solution; it would create a backlog and require manual cleanup. It was also incredibly complex to set up
and manage, especially archival to public cloud. You had to be a rocket scientist.”
To help manage the transition, the firm turned to Rubrik. Quickly, according to Vogas, the firm saw numerous
tangible benefits: TCO was reduced by half, data efficiency improved by a factor of 7, the physical data center
footprint was cut by 91%, and RPOs were reduced from the previous 12 hours to just minutes.
By using Rubrik for backup, disaster recovery, replication, public cloud archival and test/dev across physical, virtual
and cloud environments, the firm was able to modernize its IT framework and cut costs in the process. Archiving,
in particular, was a workload where Rubrik helped the firm move aggressively to the cloud. “We had been looking
into public cloud archival for over a year, but the ones we found were complex to set up,” Vogas said. One
requirement with Rubrik was that it had to work easily with any public cloud. “Since Rubrik encrypts data sent to
the cloud, you are protected,” he said."
"When the State Department implemented MeterNet, a smart-metering platform for collecting real-time utility and facility equipment data, they began saving $32K annually at each site and reduced hundreds of thousands in annual travel costs by enabling engineers to conduct remote performance audits.
If the State Department uses its automated MeterNet utility data for predictive analysis, they will be able to forecast equipment failures months before they may occur, prevent catastrophic failures, and extend the lifespan of equipment by reducing frequency of replacements and related costs.    
When the State Department, in partnership with the science community and EPA, implemented DOSAir, a network of air monitoring sensors that reports hourly on the air quality conditions of nearly 40 posts, they were able to begin developing health messaging and standard operating procedures for U.S. personnel and citizens living abroad whose health is increasingly threatened by air pollution. 
If the State Department combines its automated DOSAir air quality data with NASA satellite data and applies machine learning to forecast air pollution, then U.S. personnel and citizens abroad can reduce prolonged exposure. 
 
When the State Department implemented Telematics, a secure sensor network that automatically collects data from Department vehicle computers, they could apply centralized analytics to: review fleet performance, reduce costs by identifying anomalies in vehicle performance such as dangerous driving and fuel theft, predict maintenance needs to extend vehicle lifespans, determine which vehicles are best suited for each post, and profile the safety record of each fleet driver for managers.   Submitted by: The Office of Management Policy, Rightsizing, and Innovation:.","Internet of Things
M/PRI uses data from the Internet of Things (IoT) devices in combination with cloud computing, machine learning and interactive data modeling. This data helps the Department enable better management controls, optimize resources, and improve security.  The Department of State's IoT programs include:
MeterNet
MeterNet is the Department’s smart-metering platform for collecting real-time utility and facility equipment data.  Its primary benefits are the ability to measure, report, and verify the performance of worldwide facilities, enact management controls over Department resources, and embed additional layers of security on facilities.  On average, MeterNet data saves $32K annually at each site it is deployed and reduces hundreds of thousands in annual travel costs by enabling engineers to conduct remote performance audits.  The next stage for MeterNet data includes predictive analytics to forecast equipment failures months before they may occur.  This forecasting would help prevent catastrophic failures and extend the lifespan of equipment, reducing frequency of replacements and related costs.    
DOSAir
DOSAir is a network of air monitoring sensors that reports hourly on the air quality conditions of nearly 40 posts.  Over the past decade, air pollution has become an increased health risk to U.S. personnel and citizens overseas.  Partnering with the science community and EPA, the Department is working to develop health messaging and standard operating procedures for U.S. personnel and citizens living abroad.  The next stage for DOSAir includes combining DOSAir ground sensor data with NASA satellite data and applying machine learning to develop forecasting of air pollution.  This will help U.S. personnel and citizens reduce prolonged exposure while showcasing U.S. technology and science. 
 
Telematics
Telematics is a sensor network that automatically collects data from Department vehicle computers and enables centralized analytics and review of fleet performance.  Telematics will reduce costs by identifying anomalies in vehicle performance such as dangerous driving and fuel theft, and predicting maintenance needs to extend vehicle lifespans.  Telematics can determine which vehicles are best suited for each post, and profile the safety record of each fleet driver for managers.  The devices being deployed are built with two new industrial property patents related to cybersecurity and were invented by the Department.  
"
"If cities, like Kansas City, MO, had access to USPS vacancy data, they could combine that with other vacancy proxy data, such as utility (water/sewer) data, to effectively address vacant and mitigate economic distress related to blight.  Submitted by: City of Kansas City, MO.","Vacancy in housing is a major problem that influences blight and economic distress. To effectively address vacancy, however, requires understanding where it is occurring. As a dynamic phenomenon, it can be hard to track and understand over time
The City of Kansas City, MO has endeavored to achieve a better understanding of vacancy on a static, snapshot basis, but could be better positioned to focus resources on areas with higher vacancy if we could track it as it occurs. Local utility data (water/sewer) provides one set of insights into potential vacancies, but needs to be cross-referenced with another set of data to distinguish lack of water use that is due to vacancy as opposed to other factors (i.e. water theft, broken meters). The USPS vacancy data is utilized by many cities in some format, but is hard to obtain access to. Setting up better access to USPS data that would allow for cross-referencing with other vacancy-oriented administrative data at the city level would allow cities to obtain a much better real-time understanding of the dynamics of real estate and residents in their city, and react with the appropriate resources."
"When the Department of Homeland Security spearheaded the National Information Exchange Model (NIEM.gov),  a common approach to multi-agency data sharing for the Departments of Homeland Security, Justice, and Health and Human Services, they were able to build interoperable extensible data standards for multi-agency counter-terrorism and law enforcement projects.
If the Federal Government endorses NIEM as the government-wide default for data standardization, in coordination with OMB and GSA, they may be able to build interoperable extensible data standards for multi-agency projects, beyond counter-terrorism and law enforcement.
 Submitted by: Data Coalition.","
The federal government has very few data formats for sharing mission or programmatic related data across multiple agencies. One prominent exception is the Department of Homeland Security lead National Information Exchange Model (NIEM).
To build a common approach to multi-agency data sharing, the Departments of Homeland Security, Justice, and Health and Human Services created the National Information Exchange Model (NIEM) (see: https://www.niem.gov/), which publishes a data dictionary of common fields (the ""NIEM Core"") and helps agencies create formats using those fields. (In the summer of 2017, version 4.0 of the NIEM Core will incorporate the Legal Entity Identifier.) NIEM is now used extensively to build formats for multi- agency counter-terrorism and law enforcement projects, but has tremendous potential for use beyond these mission areas.
ACTION:
The Administration should consider endorsing NIEM as the government-wide default for data standardization and publication projects. The Administration should explore moving the NIEM management team (three-five full-time equivalents) into a government-wide leadership office such as OMB. In coordination with the data standardization work of GSA’s US Data Federation (an outgrowth of the Data.gov effort) and Project Open Data, NIEM stands poised to foster a base of standardized material data to inform the natural harmonization of common mission data within agency environments.
INTERNAL BENEFITS:
Adopting a NIEM-first policy for federal mission or programmatic related data sharing projects will ensure that agencies at least consider reusing the common data fields of the NIEM Core, rather than building their own, when they initiate data exchanges.
EXTERNAL BENEFITS:
The broader use of the NIEM Core will enable serendipitous reuse of federal open data at a far greater scale.
 
"
"If the Federal Government regulatory agencies form a Task Force led by Commerce Department’s Trade Finance Advisory Council to implement the Standard Business Reporting (SBR) data standards and new technologies like distributed ledgers, they may be able to reduce compliance cost savings to the private sector like Australia and the Netherlands have.  Submitted by: Data Coalition.","U.S. regulatory agencies employ document-based forms to collect information from the private sector. However, the concept of Standard Business Reporting (SBR) demonstrates that regulatory agencies can reduce the compliance burden on the private sector by replacing forms with standardized data, governed by common data standards across multiple regimes. Australia and the Netherlands have implemented SBR, with their regulatory agencies agreeing on a common data structure of common fields and formats for the information they collect. As a result, Australian and Dutch business software can automatically compile and submit regulatory information to multiple regulators at once, saving compliance costs.
In April 2018, the Commerce Department’s Trade Finance Advisory Council (TFAC) recommended to the Secretary of Commerce that the federal government should pilot and implement a standardized reporting regime similar to the SBR concept (see: https://www.datacoalition.org/wp- content/uploads/2018/07/TFAC_Data-Standardization_Final.pdf). The TFAC’s recommendations provide an opportunity to move forward.
ACTION:
The Administration should convene a task force representing all major regulatory agencies to create a road map for standardizing the data fields and formats that they use to collect information from the private sector, modeled on best practices learned from foreign success cases like the Australian Standard Business Reporting project, to reduce compliance costs. The task force should evaluate ways to deploy new data reporting technologies, particularly distributed ledger/blockchain, throughout U.S. regulatory reporting. The Administration should consider a role for the Department of Commerce in the housing and leadership of the task force as recommended by the TFAC.
INTERNAL BENEFITS:
Although the full implementation of a U.S. SBR program would require a multi-year effort, the creation of an exploratory task force would help scope out the required policy barriers and necessary investments, and encourage regulatory agencies to voluntarily begin regulatory data standard setting work where applicable.
EXTERNAL BENEFITS:
The adoption of SBR in the U.S. has the potential for enormous regulatory compliance cost savings to the private sector. For instance, Deloitte has estimated that Australia's SBR program will have accrued
$5 billion AUD in compliance cost savings to the private sector by the end of 2018 (see: https://comms.dfsco.com/LP=1923).
"
"If LEHD data is integrated with local and regional transportation data, there could be more robust and timely ""Access to Jobs"" metrics to inform federal decision-making and transit initiatives, such as autonomous vehicles, to empower vulnerable populations with frictionless mobility. Submitted by: ArgoLabs.","Integrate LEHD Data with Local/Regional Transportation data to develop more robust and timely ""Access to Jobs"" metrics. 
For example: a low-income residential area that is classified as a transit desert and also farther away from local/regional economic hubs can receive special status so that mobility and transit companies are incentivized  to fill the gaps by providing mobility to these areas.
Not only will this use-case can inform federal decision making into supporting cutting edge transit initiatives today but also into a future where public service autonomous vehicles can empower vulnerable populations with frictionless mobility."
"If the Department of Veterans Affairs includes ""provider readiness"" measurements in their new electronic health records, then Congress and third parties would be able to cross-reference this with the provider readiness training data reported to Congress to assess the returns on investments (ROIs).  Submitted by: Alpine Labs.","Veterans’ health is supported by patient data and provider readiness. As the Department of Veterans Affairs adopts a new electronic health record in support of acquiring and managing patient data, it is prudent to also improve the provider readiness through data analyses. Provider readiness requires efficient and effective training that allows healthcare providers to prepare for functional priorities in their roles, the operational locations, and the region’s legal requirements. As reported in a paper by the Data Coalition, the relevant data for such training is managed in digital event-based business cases, and reported to Congress. The data specifies the expected target effects, which justify the investments. The missing data are assessments of the effects of the training at the service locations, thus the returns on investments (ROIs). If these simple data are collected, the ROIs will provide ongoing, pinpointed clarity on necessary changes to optimize provider readiness in Veterans’ health outcomes. 
Paper: https://www.datacoalition.org/why-quality-data-should-inform-ombs-government-wide-management-reform-agenda/"
